subjects,S,condition,R,rt
7,right,hangover,right,0.20627513
7,right,hangover,right,0.189544849
7,left,hangover,right,0.531804578
7,left,intoxicated,right,0.184100364
7,right,hangover,right,0.173061746
7,left,intoxicated,left,0.155700032
7,left,hangover,right,0.381639556
7,right,intoxicated,right,0.164448965
7,left,intoxicated,right,0.141829764
7,left,intoxicated,left,0.229007306
7,right,hangover,left,0.152052848
7,right,intoxicated,right,0.203037146
7,left,hangover,right,0.305579318
7,right,intoxicated,left,0.211670977
7,left,hangover,left,0.379491436
7,left,intoxicated,right,0.427688338
7,left,intoxicated,left,0.638311871
7,right,hangover,right,0.328366702
7,left,hangover,right,0.422064997
7,left,hangover,right,0.168054906
7,left,intoxicated,right,0.35103511
7,left,hangover,right,0.161511839
7,right,hangover,right,0.280206829
7,left,hangover,left,0.279615313
7,left,intoxicated,left,0.19635468
7,left,intoxicated,left,0.150210958
7,left,intoxicated,left,0.208533108
7,right,intoxicated,right,0.169393784
7,left,intoxicated,left,0.12346122
7,right,hangover,right,0.140293064
7,left,hangover,right,0.32240611
7,left,intoxicated,right,0.168798224
7,left,intoxicated,right,0.194244554
7,left,hangover,left,0.250705905
7,left,hangover,right,0.36665974
7,left,hangover,right,0.129678691
7,right,intoxicated,right,0.150479286
7,right,hangover,left,0.17261
7,right,intoxicated,left,0.238483026
7,right,hangover,right,0.655356642
7,right,hangover,right,0.281771254
7,right,intoxicated,right,0.149496275
7,right,hangover,right,0.410244312
7,left,intoxicated,left,0.31330292
7,left,hangover,right,0.228209145
7,right,intoxicated,right,0.332057181
7,right,intoxicated,right,0.149931763
7,right,hangover,right,0.176122996
7,left,hangover,right,0.267100328
7,right,hangover,left,0.162324814
7,left,hangover,left,0.311335403
7,right,intoxicated,right,0.250273378
7,right,intoxicated,left,0.30724244
7,right,hangover,left,0.271912266
7,right,intoxicated,left,0.326443004
7,right,hangover,right,0.339617137
7,right,hangover,left,0.314132221
7,left,intoxicated,right,0.15168646
7,left,hangover,left,0.278068791
7,left,intoxicated,left,0.223117263
7,right,intoxicated,right,0.166235445
7,right,intoxicated,right,0.205003989
7,right,hangover,right,0.176619067
7,left,intoxicated,left,0.133380537
7,right,hangover,left,0.185531317
7,right,intoxicated,right,0.237126804
7,left,hangover,left,0.418313904
7,left,intoxicated,right,0.259435901
7,right,hangover,right,0.2435174
7,left,intoxicated,right,0.198012952
7,left,intoxicated,right,0.317279356
7,left,intoxicated,right,0.249854972
7,right,hangover,left,0.304244147
7,left,hangover,left,0.27982939
7,right,hangover,right,0.161309478
7,left,hangover,left,0.560870134
7,right,intoxicated,left,0.294992813
7,left,hangover,right,0.20263422
7,right,hangover,left,0.227261414
7,right,hangover,left,0.395423192
7,left,intoxicated,left,0.240378283
7,left,intoxicated,left,0.217070245
7,right,hangover,right,0.200721909
7,left,intoxicated,left,0.211795585
7,left,hangover,left,0.137694296
7,left,intoxicated,left,0.27935953
7,right,intoxicated,right,0.189075421
7,left,hangover,left,0.253936561
7,right,hangover,left,0.219057938
7,right,hangover,right,0.322247462
7,left,hangover,right,0.285021952
7,right,intoxicated,right,0.233177649
7,right,hangover,left,0.371638101
7,left,intoxicated,left,0.207659155
7,right,hangover,right,0.286233399
7,right,intoxicated,right,0.139843197
7,left,intoxicated,left,0.189542645
7,left,intoxicated,left,0.227755302
7,right,intoxicated,right,0.192760629
7,left,intoxicated,right,0.212255788
7,right,intoxicated,left,0.282432827
7,left,intoxicated,right,0.172442632
7,left,hangover,right,0.438017801
7,left,intoxicated,left,0.287538755
7,right,hangover,right,0.192752954
7,right,intoxicated,right,0.214305511
7,right,hangover,right,0.175430462
7,right,intoxicated,right,0.212169681
7,left,hangover,left,0.437916759
7,right,hangover,right,0.167819708
7,right,intoxicated,left,0.440961322
7,right,hangover,right,0.198095105
7,right,hangover,right,0.174138862
7,right,intoxicated,right,0.134244059
7,left,intoxicated,right,0.333814947
7,left,hangover,right,0.142498818
7,left,intoxicated,right,0.146892587
7,right,intoxicated,right,0.166297257
7,left,intoxicated,left,0.265812524
7,left,hangover,right,0.239148496
7,left,hangover,left,0.621509017
7,left,hangover,left,0.286964337
7,right,hangover,right,0.274368667
7,left,hangover,left,0.199158991
7,left,intoxicated,left,0.345431476
7,left,hangover,right,0.307073986
7,right,intoxicated,left,0.263631673
7,right,hangover,right,0.146640839
7,left,hangover,left,0.344205467
7,left,hangover,left,0.151930736
7,left,hangover,left,0.438126991
7,right,intoxicated,right,0.150932933
7,right,intoxicated,right,0.135522989
7,left,intoxicated,right,0.193629686
7,right,hangover,right,0.171581603
7,left,intoxicated,right,0.277819797
7,right,intoxicated,right,0.349767642
7,right,intoxicated,right,0.189929822
7,left,hangover,left,0.582568298
7,right,intoxicated,left,0.250022405
7,right,intoxicated,left,0.221902106
7,right,hangover,right,0.163159587
7,right,intoxicated,left,0.186374149
7,left,intoxicated,right,0.171057481
7,left,hangover,left,0.273339526
7,right,intoxicated,right,0.178296623
7,left,hangover,left,0.194994622
7,right,hangover,left,0.179710464
7,right,intoxicated,left,0.242884373
7,right,intoxicated,left,0.416605612
7,left,intoxicated,left,0.189494988
7,left,intoxicated,left,0.393416877
7,left,hangover,left,0.216266867
7,right,intoxicated,left,0.148568285
7,left,intoxicated,left,0.212076156
7,left,hangover,left,0.284192755
7,right,hangover,left,0.1933061
7,right,intoxicated,right,0.258740133
7,right,intoxicated,right,0.497777283
7,right,hangover,left,0.238850465
7,right,intoxicated,right,0.270164756
7,right,intoxicated,left,0.211204587
7,left,intoxicated,left,0.265088886
7,right,intoxicated,right,0.663060943
7,right,intoxicated,left,0.208348406
7,right,intoxicated,right,0.311030177
7,right,intoxicated,right,0.286866897
7,right,intoxicated,right,0.186043363
7,left,hangover,right,0.368522902
7,left,hangover,right,0.270906148
7,right,hangover,left,0.167254123
7,right,intoxicated,left,0.33086611
7,left,intoxicated,right,0.24210268
7,left,intoxicated,left,0.185252158
7,right,intoxicated,right,0.178047825
7,right,hangover,right,0.159645841
7,right,intoxicated,right,0.187728383
7,right,intoxicated,left,0.213599227
7,right,intoxicated,right,0.187103231
7,right,hangover,right,0.179174934
7,left,hangover,left,0.158790008
7,right,intoxicated,right,0.291172608
7,right,hangover,left,0.24067653
7,right,intoxicated,right,0.149343934
7,right,hangover,left,0.261331022
7,right,hangover,left,0.36613374
7,left,hangover,right,0.225839312
7,left,intoxicated,left,0.35088102
7,right,intoxicated,right,0.142181855
7,left,hangover,left,0.206899125
7,left,intoxicated,left,0.196088791
7,right,hangover,right,0.485778998
7,left,intoxicated,left,0.226859048
7,left,intoxicated,right,0.264510379
7,right,intoxicated,right,0.147343633
7,left,hangover,left,0.16492833
7,left,intoxicated,right,0.338806743
7,left,hangover,left,0.527530866
7,left,hangover,left,0.14821211
7,right,hangover,left,0.172000787
7,right,intoxicated,left,0.139897309
7,right,intoxicated,right,0.325601267
7,left,intoxicated,right,0.333150872
7,left,intoxicated,left,0.281425787
7,left,hangover,left,0.374338259
7,left,hangover,left,0.16353925
7,right,hangover,left,0.166655714
7,right,intoxicated,right,0.168353236
7,left,intoxicated,right,0.161108243
7,right,intoxicated,left,0.26051004
7,right,hangover,right,0.185780674
7,right,hangover,right,0.261714746
7,left,hangover,left,0.248170723
7,right,intoxicated,right,0.220581
7,right,intoxicated,right,0.209306417
7,right,intoxicated,left,0.327176884
7,left,hangover,left,0.155143883
7,right,intoxicated,right,0.24799097
7,right,intoxicated,right,0.219568241
7,left,intoxicated,left,0.150357841
7,left,hangover,left,0.143311279
7,right,intoxicated,left,0.202643219
7,right,intoxicated,right,0.200607434
7,left,hangover,left,0.41103893
7,left,hangover,left,0.205106753
7,right,intoxicated,left,0.205686513
7,left,intoxicated,left,0.218078742
7,left,intoxicated,left,0.378791349
7,right,intoxicated,right,0.200783673
7,right,intoxicated,right,0.202072268
7,right,intoxicated,left,0.145994396
7,left,hangover,left,0.184427868
7,left,intoxicated,left,0.369712908
7,left,intoxicated,left,0.228844527
7,left,hangover,left,0.190529228
7,right,hangover,left,0.605189966
7,right,intoxicated,right,0.317935904
7,left,hangover,right,0.171485
7,left,hangover,left,0.155624544
7,right,hangover,right,0.159022692
7,right,hangover,left,0.156723269
7,left,intoxicated,right,0.167037731
7,left,hangover,left,0.277033497
7,right,hangover,right,0.29637836
7,right,intoxicated,left,0.167470001
7,right,hangover,right,0.16207245
7,right,intoxicated,right,0.191613995
7,right,hangover,right,0.160706764
7,right,hangover,left,0.200329194
7,left,hangover,left,0.135666054
7,right,hangover,left,0.186523689
7,left,intoxicated,right,0.266386765
7,right,hangover,left,0.206427506
7,left,hangover,right,0.177939928
7,left,hangover,left,0.186370471
7,right,intoxicated,right,0.276674787
7,right,hangover,left,0.349401491
7,right,intoxicated,left,0.45149867
7,left,hangover,right,0.456228376
7,right,hangover,right,0.146923704
7,left,hangover,right,0.36505583
7,left,hangover,left,0.190793266
7,right,hangover,left,0.300094792
7,right,hangover,left,0.225920343
7,right,hangover,left,0.345283997
7,left,intoxicated,left,0.155188223
7,left,intoxicated,right,0.242216813
7,right,hangover,right,0.198511273
7,left,hangover,right,0.14814293
7,left,intoxicated,left,0.187858443
7,left,hangover,left,0.232729489
7,right,hangover,right,0.166115325
7,left,intoxicated,left,0.219262514
7,left,intoxicated,left,0.147761756
7,right,intoxicated,left,0.146209926
7,left,hangover,left,0.349391512
7,left,intoxicated,left,0.378351945
7,left,intoxicated,left,0.534893225
7,left,hangover,left,0.24302584
7,left,hangover,left,0.666632619
7,left,hangover,left,0.202942841
7,left,intoxicated,right,0.241729453
7,right,hangover,left,0.292183339
7,left,hangover,left,0.331047175
7,right,intoxicated,right,0.214813479
7,left,hangover,right,0.182250917
7,right,hangover,right,0.824461045
7,left,intoxicated,left,0.307607315
7,left,hangover,right,0.199884395
7,left,hangover,left,0.142582216
7,right,hangover,left,0.163011495
7,left,intoxicated,left,0.142294473
7,left,hangover,left,0.209760599
7,left,hangover,right,0.195432077
7,left,intoxicated,left,0.478491769
7,left,intoxicated,right,0.207698941
7,left,intoxicated,left,0.355008237
7,left,hangover,right,0.274326749
7,left,intoxicated,left,0.513338462
7,right,intoxicated,left,0.205298162
7,left,hangover,left,0.310623575
7,left,hangover,left,0.166967585
7,right,intoxicated,right,0.194402182
7,left,hangover,right,0.180333448
7,left,hangover,left,0.246043298
7,left,intoxicated,left,0.192126357
7,right,hangover,right,0.178853496
7,right,hangover,right,0.215262333
7,right,hangover,right,0.205791646
7,right,hangover,right,0.200982315
7,left,intoxicated,left,0.167820492
7,left,intoxicated,left,0.33999703
7,right,hangover,right,0.202924671
7,left,hangover,left,0.173531375
7,right,hangover,right,0.256507665
7,left,intoxicated,left,0.274761363
7,left,hangover,right,0.202581078
7,right,intoxicated,right,0.32113869
7,right,intoxicated,right,0.167596382
7,left,hangover,right,0.204765962
7,left,intoxicated,left,0.634613607
7,left,intoxicated,left,0.182993692
7,right,hangover,right,0.324227591
7,right,intoxicated,left,0.355318481
7,right,intoxicated,right,0.257321719
7,left,hangover,left,0.193085051
7,right,intoxicated,right,0.194208957
7,left,hangover,left,0.276102534
7,right,hangover,left,0.150348442
7,left,intoxicated,right,0.264826924
7,right,hangover,right,0.386941993
7,right,hangover,right,0.154095613
7,right,hangover,left,0.239915109
7,right,hangover,right,0.304680184
7,left,hangover,left,0.236958868
7,left,intoxicated,right,0.313870687
7,right,intoxicated,right,0.212682198
7,right,intoxicated,right,0.244141762
7,left,intoxicated,right,0.780789531
7,right,intoxicated,right,0.221402299
7,left,intoxicated,left,0.3029936
7,left,intoxicated,left,0.234130387
7,right,intoxicated,left,0.317155365
7,right,intoxicated,right,0.200937776
7,left,hangover,left,0.152250808
7,right,hangover,left,0.169619607
7,right,hangover,left,0.170352148
7,left,hangover,right,0.204544449
7,right,hangover,right,0.182545978
7,left,intoxicated,left,0.225448199
7,right,hangover,left,0.22711912
7,left,hangover,right,0.247834576
7,left,intoxicated,right,0.150412091
7,right,intoxicated,left,0.509481943
7,left,intoxicated,left,0.191718938
7,right,hangover,left,0.161252317
7,left,intoxicated,left,0.192961432
7,right,hangover,left,0.190746909
7,right,intoxicated,right,0.20407864
7,left,hangover,left,0.200008965
7,right,intoxicated,left,0.191513551
7,right,hangover,left,0.171903371
7,right,hangover,left,0.335929433
7,right,hangover,right,0.517549122
7,left,hangover,left,0.272388865
7,left,hangover,left,0.208825238
7,right,hangover,left,0.280937391
7,left,hangover,right,0.306060692
7,left,hangover,right,0.224702862
7,right,hangover,left,0.252250578
7,right,hangover,right,0.212129465
7,right,intoxicated,right,0.220810439
7,right,intoxicated,left,0.188239962
7,left,hangover,right,0.287653811
7,right,hangover,right,0.254946856
7,left,hangover,left,0.240478119
7,left,intoxicated,left,0.279639659
7,left,intoxicated,right,0.289315313
7,right,intoxicated,left,0.351311309
7,left,hangover,right,0.158974197
7,left,hangover,left,0.16206909
7,right,hangover,left,0.147967667
7,left,intoxicated,right,0.264135978
7,left,intoxicated,right,0.320653178
7,right,hangover,right,0.232571788
7,left,hangover,right,0.190268781
7,left,intoxicated,left,0.151044031
7,right,hangover,left,0.179009962
7,left,intoxicated,right,0.216148227
7,right,intoxicated,right,0.183800816
7,left,intoxicated,left,0.251304676
7,left,intoxicated,right,0.254292796
7,left,intoxicated,left,0.269459645
7,right,hangover,right,0.244375489
7,right,hangover,right,0.144350055
7,right,intoxicated,right,0.388986621
7,right,intoxicated,right,0.213120281
7,left,hangover,left,0.25201249
7,left,hangover,left,0.330928925
7,left,hangover,left,0.380115629
7,left,intoxicated,right,0.18137834
7,left,hangover,left,0.264805614
7,left,hangover,left,0.341247536
7,left,intoxicated,right,0.155836859
7,left,hangover,right,0.222109986
7,left,intoxicated,left,0.84964134
7,right,hangover,right,0.394320724
7,right,intoxicated,left,0.208495605
7,right,hangover,right,0.332247992
7,left,intoxicated,right,0.372840732
7,left,hangover,left,0.287821267
7,left,hangover,right,0.168787775
7,right,hangover,right,0.166293965
7,left,intoxicated,right,0.327664264
7,left,intoxicated,right,0.202778898
7,right,intoxicated,left,0.224306341
7,right,hangover,left,0.364971606
7,left,intoxicated,right,0.203023086
7,right,intoxicated,right,0.324095721
7,right,intoxicated,left,0.159132026
7,right,intoxicated,right,0.143746052
7,left,intoxicated,left,0.180099765
7,left,intoxicated,left,0.200844263
7,left,hangover,right,0.656106306
7,right,intoxicated,left,0.387136248
7,right,hangover,right,0.415769136
7,right,hangover,left,0.234689042
7,left,intoxicated,right,0.321861082
7,left,hangover,left,0.139436917
7,right,hangover,left,0.302009783
7,right,intoxicated,right,0.19861963
7,right,intoxicated,right,0.31006366
7,right,intoxicated,right,0.244148496
7,right,hangover,left,0.161801671
7,left,hangover,left,0.329187864
7,right,hangover,left,0.281557172
7,left,intoxicated,left,0.216005958
7,left,intoxicated,left,0.154552315
7,left,hangover,left,0.201948892
8,left,intoxicated,left,0.379718293
8,right,intoxicated,right,0.839854858
8,right,hangover,right,0.401674389
8,right,hangover,right,0.455252452
8,right,hangover,right,0.35162366
8,left,hangover,left,0.514267723
8,left,hangover,right,0.684944339
8,left,hangover,left,0.50063716
8,right,hangover,right,0.415801476
8,right,hangover,right,0.393444426
8,right,intoxicated,left,0.377241986
8,right,intoxicated,right,0.406972229
8,left,intoxicated,left,0.664807145
8,left,intoxicated,left,0.419926454
8,left,hangover,left,0.40204724
8,right,intoxicated,right,0.459765036
8,right,intoxicated,right,0.340756001
8,left,intoxicated,right,0.472988512
8,right,intoxicated,right,0.350362498
8,right,hangover,right,0.393468713
8,right,hangover,left,0.54812209
8,left,intoxicated,right,0.366456051
8,left,hangover,left,0.388084524
8,left,intoxicated,left,0.415858289
8,left,intoxicated,right,0.583767105
8,left,intoxicated,left,0.423061358
8,left,intoxicated,left,0.449674508
8,right,intoxicated,right,0.343188168
8,right,hangover,right,0.34602612
8,left,intoxicated,right,0.368275402
8,right,intoxicated,right,0.358845182
8,left,hangover,left,0.916955379
8,left,hangover,left,0.40413829
8,right,intoxicated,left,1.132954247
8,left,intoxicated,left,0.430785463
8,right,hangover,left,0.40062978
8,left,hangover,right,0.583549461
8,left,intoxicated,right,0.534734384
8,right,hangover,right,0.358793459
8,left,intoxicated,left,0.471339997
8,left,intoxicated,left,0.381290575
8,left,hangover,left,0.425712182
8,right,hangover,right,0.881945121
8,right,intoxicated,left,0.447906219
8,right,hangover,right,0.405298508
8,right,intoxicated,right,0.371155435
8,left,intoxicated,left,0.394157449
8,right,hangover,left,0.409111123
8,left,hangover,right,0.45912935
8,right,intoxicated,left,0.364656131
8,left,hangover,right,0.510687285
8,left,intoxicated,right,0.461297554
8,left,hangover,right,0.704568205
8,left,intoxicated,left,0.465412303
8,left,hangover,left,0.553697494
8,left,intoxicated,right,0.631711266
8,right,hangover,left,0.533088309
8,left,hangover,left,0.552217668
8,left,hangover,right,0.512051219
8,right,hangover,left,0.406610124
8,right,intoxicated,right,0.348344815
8,left,hangover,left,0.900756371
8,left,intoxicated,right,0.947155185
8,left,hangover,right,0.751379332
8,right,intoxicated,right,0.372154597
8,left,hangover,left,0.378261375
8,left,hangover,right,0.343884759
8,right,intoxicated,right,0.522497287
8,left,intoxicated,left,0.453694241
8,right,hangover,right,0.525218449
8,right,intoxicated,right,0.344601296
8,left,intoxicated,right,0.357340345
8,right,intoxicated,right,0.377620065
8,left,hangover,left,0.424534457
8,left,intoxicated,left,0.356137847
8,left,intoxicated,left,0.541075694
8,left,hangover,left,0.585321403
8,right,hangover,right,0.471696577
8,left,hangover,right,0.387695299
8,left,hangover,left,0.544802707
8,right,intoxicated,left,0.476092004
8,right,hangover,right,0.734825277
8,left,hangover,left,0.400285224
8,right,intoxicated,right,0.415966755
8,left,hangover,right,0.537086391
8,left,hangover,left,0.362381707
8,right,intoxicated,right,0.515135632
8,right,hangover,right,0.351365056
8,left,hangover,left,0.541860563
8,right,hangover,left,0.361676871
8,left,hangover,right,0.454107126
8,right,intoxicated,right,0.369430071
8,left,hangover,left,0.500553386
8,right,hangover,left,0.471703603
8,right,hangover,right,0.423992159
8,right,intoxicated,left,0.524966362
8,left,intoxicated,right,0.521359006
8,left,intoxicated,right,0.553244972
8,right,intoxicated,right,0.402909438
8,right,hangover,right,0.459621201
8,left,intoxicated,right,0.378824062
8,left,hangover,right,0.552340654
8,right,intoxicated,right,0.372020771
8,left,hangover,right,0.42409384
8,left,intoxicated,right,0.364221461
8,right,hangover,right,0.539717878
8,right,intoxicated,right,0.507168135
8,right,hangover,right,0.354601952
8,right,hangover,left,0.34988182
8,left,intoxicated,left,0.399200585
8,right,hangover,right,0.545367506
8,left,hangover,left,0.698784756
8,right,intoxicated,right,0.495309298
8,left,hangover,left,0.377251895
8,left,intoxicated,left,0.351603026
8,right,hangover,right,0.430658592
8,right,intoxicated,left,0.357025692
8,right,intoxicated,right,0.586860903
8,right,intoxicated,right,0.501655645
8,right,intoxicated,right,0.608628945
8,left,hangover,left,0.413011746
8,right,intoxicated,right,0.381707729
8,left,intoxicated,left,0.686027926
8,right,hangover,left,0.408503097
8,right,hangover,left,0.37518918
8,right,hangover,right,0.389285067
8,right,intoxicated,right,0.429022464
8,left,intoxicated,left,0.422896288
8,right,intoxicated,right,0.487203477
8,left,intoxicated,right,0.530770322
8,right,hangover,left,1.076533604
8,right,intoxicated,left,0.448678654
8,right,intoxicated,right,0.557242745
8,right,hangover,right,0.806403019
8,right,hangover,right,0.372693642
8,left,hangover,left,1.473508338
8,left,hangover,left,0.385206655
8,right,hangover,left,0.378899735
8,left,intoxicated,left,0.492009839
8,left,intoxicated,left,0.357430956
8,left,intoxicated,left,0.477785127
8,right,intoxicated,left,0.413671118
8,left,hangover,left,0.756195866
8,left,hangover,right,0.391008563
8,right,intoxicated,right,0.375992507
8,right,hangover,right,0.695088346
8,right,hangover,left,0.349736335
8,left,hangover,right,0.438810683
8,right,intoxicated,left,0.412303033
8,left,hangover,left,0.385056016
8,left,hangover,right,0.545179513
8,right,intoxicated,right,0.364045271
8,left,hangover,left,0.370425024
8,right,hangover,right,0.406005716
8,left,intoxicated,left,0.352855529
8,right,hangover,right,0.400891298
8,left,intoxicated,left,0.602786951
8,right,hangover,left,0.498677083
8,right,hangover,left,0.427222329
8,right,hangover,left,0.369199242
8,left,hangover,left,0.37898962
8,right,hangover,right,0.530154437
8,left,hangover,left,0.441454813
8,right,intoxicated,left,0.37398657
8,right,intoxicated,left,0.454229118
8,right,intoxicated,right,0.402610158
8,left,intoxicated,left,0.543194684
8,left,intoxicated,left,0.56555363
8,right,intoxicated,right,0.406744692
8,right,intoxicated,right,0.392890547
8,left,intoxicated,right,0.359295726
8,right,intoxicated,left,0.490386394
8,right,intoxicated,right,0.468381315
8,right,hangover,left,0.37260856
8,left,intoxicated,left,0.401808144
8,right,intoxicated,left,1.103845667
8,left,intoxicated,left,0.459111247
8,right,hangover,right,0.385340492
8,left,hangover,right,0.35432526
8,left,hangover,left,0.403697198
8,right,intoxicated,left,0.506006782
8,left,hangover,right,0.405978238
8,left,hangover,left,0.463053415
8,left,hangover,right,0.436898554
8,left,hangover,left,0.385961862
8,right,intoxicated,left,0.351942376
8,right,hangover,right,0.391752085
8,left,intoxicated,left,0.376235233
8,right,hangover,right,0.401762491
8,right,intoxicated,left,0.413145657
8,left,intoxicated,left,0.467012826
8,right,hangover,right,0.36552043
8,left,intoxicated,left,0.608164078
8,right,intoxicated,right,0.438050971
8,left,hangover,right,0.602844811
8,left,intoxicated,left,0.372583603
8,left,hangover,left,0.367718016
8,left,intoxicated,left,0.580169334
8,right,hangover,right,0.489742973
8,left,intoxicated,right,0.383760551
8,left,intoxicated,left,0.569242244
8,right,hangover,right,0.659208876
8,right,hangover,right,0.491607069
8,left,intoxicated,right,0.494649508
8,right,hangover,right,0.431598225
8,left,hangover,left,0.514827056
8,right,hangover,left,0.46802819
8,left,hangover,right,0.615610084
8,left,hangover,right,0.435253563
8,left,hangover,left,0.502572213
8,left,hangover,left,0.554772179
8,right,intoxicated,right,0.992031484
8,right,intoxicated,left,0.399412153
8,right,hangover,right,0.35285311
8,left,intoxicated,left,0.488519657
8,left,intoxicated,left,0.377842294
8,left,hangover,left,0.470028179
8,left,intoxicated,left,0.366512597
8,right,hangover,right,0.491749193
8,right,hangover,right,0.50638343
8,left,hangover,right,0.369885217
8,right,intoxicated,right,0.473613781
8,right,intoxicated,right,0.388889041
8,right,intoxicated,right,0.394771403
8,right,hangover,right,0.43346622
8,right,intoxicated,right,0.402560245
8,right,intoxicated,right,0.700432864
8,left,intoxicated,left,0.515733775
8,left,hangover,right,0.380672708
8,right,intoxicated,left,0.539636941
8,right,intoxicated,right,0.63963523
8,right,hangover,right,0.499554699
8,right,intoxicated,left,0.427684052
8,left,intoxicated,right,0.476547516
8,left,hangover,left,0.397031422
8,right,hangover,right,0.434669299
8,left,intoxicated,right,0.665096013
8,right,intoxicated,left,0.654925367
8,left,hangover,left,0.398514939
8,right,intoxicated,right,0.821261932
8,left,intoxicated,left,0.467382271
8,left,hangover,left,0.343979679
8,right,hangover,right,0.401482218
8,left,hangover,left,0.430830901
8,right,intoxicated,right,0.476101029
8,right,intoxicated,left,0.352396448
8,left,hangover,left,0.387132412
8,left,hangover,left,0.411240199
8,right,hangover,right,0.504622697
8,left,intoxicated,left,0.354389634
8,left,hangover,right,0.473323977
8,right,hangover,left,0.370349471
8,right,hangover,right,0.361210525
8,left,intoxicated,left,0.370414952
8,left,intoxicated,right,0.482865861
8,right,hangover,right,0.538557033
8,left,intoxicated,left,0.465438442
8,right,intoxicated,right,0.346826085
8,right,intoxicated,right,0.443752157
8,left,intoxicated,right,0.359716874
8,left,intoxicated,left,0.368708956
8,right,intoxicated,left,0.462520078
8,right,hangover,right,0.590559114
8,right,intoxicated,left,0.373808361
8,right,intoxicated,right,0.430517437
8,left,intoxicated,left,0.359915294
8,left,intoxicated,left,0.362383363
8,left,intoxicated,left,0.568421617
8,left,hangover,right,0.642117368
8,left,hangover,left,0.472289046
8,left,hangover,left,0.459058717
8,left,intoxicated,right,0.52120733
8,left,hangover,left,0.436909498
8,right,hangover,left,0.642599821
8,left,hangover,right,0.448679543
8,right,hangover,right,0.357175358
8,right,intoxicated,right,0.389827367
8,left,intoxicated,left,0.463429177
8,right,hangover,left,0.445513267
8,right,intoxicated,left,0.457909306
8,left,intoxicated,right,0.390082147
8,left,hangover,left,0.362603672
8,right,hangover,right,0.44269637
8,left,hangover,right,0.690006452
8,left,intoxicated,right,0.382455497
8,left,intoxicated,right,0.368840824
8,right,hangover,right,0.437101531
8,right,intoxicated,right,0.553999312
8,left,intoxicated,right,0.346428996
8,right,intoxicated,right,0.503445062
8,left,intoxicated,left,0.579879467
8,right,hangover,right,0.44777823
8,left,hangover,left,0.349028837
8,right,hangover,right,0.355326704
8,right,intoxicated,right,0.81898856
8,right,hangover,right,0.460332688
8,left,hangover,left,0.412328996
8,right,hangover,right,0.365658823
8,left,intoxicated,right,0.480013771
8,right,intoxicated,left,0.883179194
8,right,hangover,right,0.377679189
8,right,hangover,left,0.631342461
8,left,intoxicated,left,0.432492255
8,right,intoxicated,left,0.367896498
8,left,hangover,left,0.631646263
8,right,hangover,right,0.417313849
8,right,intoxicated,right,0.369765182
8,right,intoxicated,right,0.532095165
8,left,intoxicated,left,0.530683332
8,left,hangover,left,0.62829294
8,right,hangover,right,0.425963456
8,left,hangover,left,0.438121259
8,left,hangover,left,0.43807063
8,right,hangover,right,0.618524422
8,left,hangover,right,0.518534106
8,left,intoxicated,left,0.445332693
8,left,intoxicated,right,0.447809838
8,right,intoxicated,right,0.381874547
8,right,intoxicated,right,0.481872357
8,left,intoxicated,left,0.362837937
8,left,intoxicated,right,0.657681874
8,left,hangover,left,0.558432715
8,right,intoxicated,right,0.447963157
8,left,intoxicated,left,0.410425303
8,right,hangover,left,0.462276482
8,left,hangover,left,0.713503539
8,left,intoxicated,right,0.472944378
8,left,hangover,left,0.390934884
8,right,intoxicated,right,0.48482831
8,left,hangover,right,0.452963518
8,left,intoxicated,left,0.510557966
8,right,hangover,right,0.33743294
8,left,intoxicated,left,0.964339813
8,right,hangover,right,0.363003442
8,left,hangover,right,0.373864078
8,right,hangover,right,0.719770629
8,left,intoxicated,left,0.583026178
8,right,hangover,right,0.366880249
8,left,intoxicated,left,0.487859541
8,right,hangover,right,0.587001449
8,right,intoxicated,right,0.399569904
8,left,intoxicated,right,0.381750904
8,right,intoxicated,right,0.513798392
8,right,hangover,left,0.566413827
8,left,hangover,left,0.370310646
8,left,intoxicated,left,0.4745587
8,left,hangover,left,0.601997483
8,left,intoxicated,left,0.374785947
8,right,hangover,right,0.614516951
8,left,intoxicated,left,0.415014583
8,right,intoxicated,left,0.424817872
8,right,hangover,right,0.440507379
8,left,intoxicated,left,0.473447225
8,right,hangover,left,0.35111723
8,left,intoxicated,right,0.729609967
8,right,hangover,left,0.350477563
8,left,intoxicated,right,0.537812089
8,right,intoxicated,left,0.35341335
8,left,hangover,left,0.361247546
8,right,hangover,left,0.357738879
8,right,hangover,left,0.446031364
8,right,hangover,left,0.647267632
8,left,hangover,left,0.403048439
8,right,intoxicated,right,0.420909818
8,left,hangover,right,0.437468677
8,left,hangover,left,0.620481013
8,left,hangover,left,0.685610747
8,left,hangover,right,0.668944409
8,left,hangover,left,0.369449654
8,left,hangover,right,0.425274076
8,left,hangover,left,0.428766901
8,right,hangover,right,0.343249149
8,left,intoxicated,left,0.427741066
8,left,hangover,right,0.450210724
8,right,hangover,left,0.370452634
8,right,intoxicated,left,0.625098267
8,right,intoxicated,left,0.367430572
8,right,hangover,right,0.362565407
8,right,hangover,left,0.350205287
8,left,hangover,left,0.953455648
8,right,intoxicated,left,0.707245366
8,right,hangover,right,0.491997112
8,right,intoxicated,right,0.378662536
8,left,hangover,left,0.7583575
